filename,公司全称,公司简称,公司代码,文件名称,落款日期,会议类型,会议届次,会议召开时间,篇幅页码,字数,关联公告,议案列表
145988899_2025-10-10_启迪环境：2025年第一次临时股东大会决议公告.PDF,启迪环境科技发展股份有限公司,启迪环境,000826,启迪环境科技发展股份有限公司2025年第一次临时股东大会决议公告,2025年10月11日,股东会,2025年第一次临时股东大会,2025年10月10日,4,2658,《《启迪环境科技发展股份有限公司关于召开2025年第一次临时股东大会的通知》（公告编号：2025-048）、《关于增加2025年第一次临时股东大会临时提案暨召开2025年第一次临时股东大会补充通知的公告》（公告编号：2025-057）》,"[{""议案名称"": ""《关于公司控股子公司拟向相关金融机构申请总额不超过人民币6,500万元综合授信额度以及办理授信额度项下借款的议案》"", ""议案内容"": ""公司控股子公司拟向相关金融机构申请总额不超过人民币6,500万元综合授信额度以及办理授信额度项下借款"", ""审议状态"": ""未获得审议通过"", ""表决情况"": ""同意114,706,407股，反对2,387,770股，弃权114,289,243股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于公司及控股子公司对外提供担保额度的议案》"", ""议案内容"": ""公司及控股子公司对外提供担保额度"", ""审议状态"": ""未获得审议通过"", ""表决情况"": ""同意112,659,833股，反对4,392,664股，弃权114,330,923股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于增补第十一届监事会非职工监事的议案》"", ""议案内容"": ""增补第十一届监事会非职工监事"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意229,629,176股，反对1,232,006股，弃权522,238股"", ""回避情况"": ""未找到""}]"
145988902_2025-10-10_雷迪克：第四届董事会第二十次会议决议公告.PDF,杭州雷迪克节能科技股份有限公司,雷迪克,300652,杭州雷迪克节能科技股份有限公司第四届董事会第二十次会议决议公告,2025年10月10日,董事会,第四届董事会第二十次会议,2025年10月10日,2,821,《杭州雷迪克节能科技股份有限公司第四届董事会第二十次会议决议公告》,"[{""议案名称"": ""《关于向2025年限制性股票激励计划激励对象首次授予限制性股票的议案》"", ""议案内容"": ""根据《上市公司股权激励管理办法》《深圳证券交易所创业板上市公司自律监管指南第1号——业务办理》等有关法律、法规和规范性文件以及《杭州雷迪克节能科技股份有限公司2025年限制性股票激励计划（草案）》及其摘要，以及公司2025年第三次临时股东会的授权的有关规定，董事会认为公司2025年限制性股票激励计划规定的首次授予条件已经成就，同意公司本次激励计划的首次授予日为2025年10月10日，并同意以30.73元/股的授予价格向76名激励对象授予88.5万股限制性股票。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""关联董事许玉萍回避表决""}]"
145988911_2025-10-10_晨光生物：2025年第二次临时股东会决议公告.PDF,晨光生物科技集团股份有限公司,晨光生物,300138,2025年第二次临时股东会决议公告,2025年10月10日,股东会,2025年第二次临时股东会,2025年10月10日,4,2351,《2025年第二次临时股东会决议公告》,"[{""议案名称"": ""《关于修订<公司章程>的议案》"", ""议案内容"": ""修订公司章程"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意139,729,189股，反对6,708,755股，弃权65,700股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于修订公司部分制度（一）的议案》"", ""议案内容"": ""修订公司部分制度（一）"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意141,007,089股，反对5,433,555股，弃权63,000股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于董事长薪酬的议案》"", ""议案内容"": ""董事长薪酬"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意48,114,593股，反对129,300股，弃权63,700股"", ""回避情况"": ""股东卢庆国先生持有公司98,196,051股，因其属于本议案关联方，进行了回避""}, {""议案名称"": ""《关于增加套期保值业务额度的议案》"", ""议案内容"": ""增加套期保值业务额度"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意146,358,744股，反对80,700股，弃权64,200股"", ""回避情况"": ""未找到""}]"
145988912_2025-10-10_晨光生物：职工代表大会决议公告.PDF,晨光生物科技集团股份有限公司,晨光生物,300138,晨光生物科技集团股份有限公司职工代表大会决议公告,2025年10月10日,职工代表大会,第四届职工代表大会第十一次会议,2025年10月10日,2,737,《晨光生物科技集团股份有限公司职工代表大会决议公告》,"[{""议案名称"": ""《关于选举赵涛先生为公司第五届董事会职工代表董事的议案》"", ""议案内容"": ""选举赵涛先生为公司第五届董事会职工代表董事，与经公司股东会选举产生的现任第五届董事会其他董事共同组成公司第五届董事会，任期至第五届董事会届满之日止"", ""审议状态"": ""已经职工代表大会审议通过，无需提交股东会审议"", ""表决情况"": ""同意35票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145988913_2025-10-10_雷迪克：2025年第三次临时股东会会议决议公告.PDF,杭州雷迪克节能科技股份有限公司,雷迪克,300652,杭州雷迪克节能科技股份有限公司2025年第三次临时股东会会议决议公告,2025年10月10日,股东会,2025年第三次临时股东会,2025年10月10日,4,2638,《杭州雷迪克节能科技股份有限公司2025年第三次临时股东会会议决议公告》,"[{""议案名称"": ""《关于<杭州雷迪克节能科技股份有限公司2025年限制性股票激励计划（草案）>及其摘要的议案》"", ""议案内容"": ""未找到"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意72,380,926股，反对2,800股，弃权14,800股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于<杭州雷迪克节能科技股份有限公司2025年限制性股票激励计划实施考核管理办法>的议案》"", ""议案内容"": ""未找到"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意72,380,826股，反对2,800股，弃权14,900股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于提请股东会授权董事会办理2025年限制性股票激励计划相关事宜的议案》"", ""议案内容"": ""未找到"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意72,380,826股，反对2,800股，弃权14,900股"", ""回避情况"": ""未找到""}]"
145988915_2025-10-10__ST炼石：2025年第三次临时股东会决议公告.PDF,炼石航空科技股份有限公司,*ST炼石,000697,2025年第三次临时股东会决议公告,2025年10月10日,股东会,2025年第三次,2025年10月10日,3,2201,《2025年第三次临时股东会决议公告》,"[{""议案名称"": ""《选举向永丽女士为公司第十一届董事会独立董事》"", ""议案内容"": ""选举向永丽女士为公司第十一届董事会独立董事"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意389,243,001股，反对1,221,119股，弃权53,400股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于修订<公司章程>的议案》"", ""议案内容"": ""为了进一步提高公司治理水平，根据《中华人民共和国公司法》、中国证券监督管理委员会《上市公司章程指引（2025年修订）》《深圳证券交易所股票上市规则（2025年修订）》《深圳证券交易所上市公司自律监管指引第1号——主板上市公司规范运作（2025年修订）》等法律、行政法规、部门规章和规范性文件的相关规定，结合公司的实际情况，对《公司章程》及其附件《董事会议事规则》及《股东会议事规则》进行了修订，将附件《监事会议事规则》整体删除。"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意389,298,201股，反对1,187,519股，弃权31,800股"", ""回避情况"": ""未找到""}]"
145988918_2025-10-10__ST炼石：董事会决议公告.PDF,炼石航空科技股份有限公司,*ST炼石,000697,董事会决议公告,2025年10月10日,董事会,第十一届董事会第二十一次会议,2025年10月10日,2,703,《董事会决议公告》,"[{""议案名称"": ""《关于补选第十一届董事会专门委员会委员的议案》"", ""议案内容"": ""鉴于公司董事会成员发生变动，根据《公司章程》和董事会各专门委员会工作制度的规定，同意补选向永丽女士为公司第十一届董事会战略委员会委员、第十一届董事会审计委员会委员，第十一届董事会薪酬与考核委员会主任委员，任期自公司董事会会议审议通过之日起至公司第十一届董事会任期届满之日止。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145988930_2025-10-10_金现代：第四届董事会第十一次会议决议公告.PDF,金现代信息产业股份有限公司,金现代,300830,金现代信息产业股份有限公司第四届董事会第十一次会议决议公告,2025年10月10日,董事会,第四届董事会第十一次会议,2025年10月10日,2,777,《金现代信息产业股份有限公司第四届董事会第十一次会议决议公告》,"[{""议案名称"": ""《关于补选董事会战略委员会委员的议案》"", ""议案内容"": ""因公司治理结构调整，原第四届董事会战略委员会委员鲁效停先生辞去董事及董事会战略委员会委员职务，为保障公司第四届董事会战略委员会的规范运作，经公司董事长黎峰先生提名，董事会同意选举黄绪涛先生为公司第四届董事会战略委员会委员，任期自本次董事会审议通过之日起至第四届董事会任期届满之日止。补选完成后，公司第四届董事会战略委员会成员为黎峰先生（主任委员）、许明先生（委员）、黄绪涛先生（委员）。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意8票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145988948_2025-10-10_唐源电气：第四届董事会第四次会议决议公告.PDF,成都唐源电气股份有限公司,唐源电气,300789,成都唐源电气股份有限公司第四届董事会第四次会议决议公告,2025年10月10日,董事会,第四届董事会第四次会议,2025年10月10日,5,2813,《成都唐源电气股份有限公司第四届董事会第四次会议决议公告》,"[{""议案名称"": ""《关于调整公司向特定对象发行股票方案的议案》"", ""议案内容"": ""公司根据《中华人民共和国公司法》《中华人民共和国证券法》及《上市公司证券发行注册管理办法》等相关法律法规及规范性文件的规定，结合自身实际情况，对公司向特定对象发行股票方案中的募集资金总额等有关事项进行调整。具体调整如下：调整前：本次向特定对象发行股票募集资金总额不超过人民币86,413.58万元（含本数），扣除相关发行费用后的募集资金净额拟用于以下项目：轨道交通智能运维机器人研发与产业化项目（预计投资总额39,386.51万元，拟投入募集资金39,386.51万元）、轨道交通智能运维AI大模型研发与产业化项目（预计投资总额31,054.05万元，拟投入募集资金31,054.05万元）、营销与技术服务体系升级建设项目（预计投资总额7,973.02万元，拟投入募集资金7,973.02万元）、补充流动资金（预计投资总额8,000.00万元，拟投入募集资金8,000.00万元），合计86,413.58万元。在本次发行募集资金到位前，公司将根据募集资金投资项目的实际情况，以自筹资金先行投入，并在募集资金到位后按照相关法律法规规定的程序予以置换。募集资金到位后，若扣除发行费用后的实际募集资金净额少于拟投入募集资金总额，在本次发行募集资金投资项目范围内，公司将根据实际募集资金数额，按照项目的轻重缓急等情况，调整并决定募集资金的具体投资项目、优先顺序及各项目的具体投资金额，募集资金不足部分由公司自筹解决。若本次向特定对象发行募集资金总额因监管政策变化或发行注册文件的要求予以调整的，则届时将相应调整。调整后：本次向特定对象发行股票募集资金总额不超过人民币80,623.58万元（含本数），扣除相关发行费用后的募集资金净额拟用于以下项目：轨道交通智能运维机器人研发与产业化项目（预计投资总额39,386.51万元，拟投入募集资金39,386.51万元）、轨道交通智能运维AI大模型研发与产业化项目（预计投资总额31,054.05万元，拟投入募集资金31,054.05万元）、营销与技术服务体系升级建设项目（预计投资总额7,973.02万元，拟投入募集资金7,973.02万元）、补充流动资金（预计投资总额2,210.00万元，拟投入募集资金2,210.00万元），合计80,623.58万元。在本次发行募集资金到位前，公司将根据募集资金投资项目的实际情况，以自筹资金先行投入，并在募集资金到位后按照相关法律法规规定的程序予以置换。募集资金到位后，若扣除发行费用后的实际募集资金净额少于拟投入募集资金总额，在本次发行募集资金投资项目范围内，公司将根据实际募集资金数额，按照项目的轻重缓急等情况，调整并决定募集资金的具体投资项目、优先顺序及各项目的具体投资金额，募集资金不足部分由公司自筹解决。若本次向特定对象发行募集资金总额因监管政策变化或发行注册文件的要求予以调整的，则届时将相应调整。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于公司向特定对象发行股票预案（修订稿）的议案》"", ""议案内容"": ""鉴于公司拟对本次向特定对象发行股票方案进行调整，公司编制了《成都唐源电气股份有限公司向特定对象发行股票预案（修订稿）》。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于公司向特定对象发行股票方案的论证分析报告（修订稿）的议案》"", ""议案内容"": ""鉴于公司拟对本次向特定对象发行股票方案进行调整，公司编制了《成都唐源电气股份有限公司向特定对象发行股票方案的论证分析报告（修订稿）》。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于公司向特定对象发行股票募集资金使用可行性分析报告（修订稿）的议案》"", ""议案内容"": ""鉴于公司拟对本次向特定对象发行股票方案进行调整，公司编制了《成都唐源电气股份有限公司向特定对象发行股票募集资金使用的可行性分析报告（修订稿）》。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于公司向特定对象发行股票摊薄即期回报填补措施及相关主体承诺（修订稿）的议案》"", ""议案内容"": ""鉴于公司拟对本次向特定对象发行股票方案进行调整，公司编制了《成都唐源电气股份有限公司关于向特定对象发行股票摊薄即期回报及采取填补措施和相关主体承诺（修订稿）》。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145988949_2025-10-10_金现代：2025年第二次临时股东会决议公告.PDF,金现代信息产业股份有限公司,金现代,300830,2025年第二次临时股东会决议公告,2025年10月10日,股东会,2025年第二次临时股东会,2025年10月10日,9,6612,《2025年第二次临时股东会决议公告》,"[{""议案名称"": ""《关于变更注册资本、经营范围及修订<公司章程>的议案》"", ""议案内容"": ""变更注册资本、经营范围及修订《公司章程》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,129,055股，反对307,781股，弃权70,106股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《股东会议事规则》"", ""议案内容"": ""修订《股东会议事规则》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,039,461股，反对401,881股，弃权65,600股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《董事会议事规则》"", ""议案内容"": ""修订《董事会议事规则》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,036,261股，反对401,881股，弃权68,800股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《对外担保管理制度》"", ""议案内容"": ""修订《对外担保管理制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意174,994,855股，反对437,881股，弃权74,206股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《对外投资管理制度》"", ""议案内容"": ""修订《对外投资管理制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,032,655股，反对401,881股，弃权72,406股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关联交易管理制度》"", ""议案内容"": ""修订《关联交易管理制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,039,761股，反对401,881股，弃权65,300股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《信息披露管理制度》"", ""议案内容"": ""修订《信息披露管理制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,084,055股，反对342,781股，弃权80,106股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《募集资金管理制度》"", ""议案内容"": ""修订《募集资金管理制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,027,261股，反对408,181股，弃权71,500股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《利润分配管理制度》"", ""议案内容"": ""修订《利润分配管理制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,053,165股，反对381,977股，弃权71,800股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《防止大股东及关联方占用公司资金管理制度》"", ""议案内容"": ""修订《防止大股东及关联方占用公司资金管理制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,115,261股，反对318,081股，弃权73,600股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《控股股东、实际控制人行为规范》"", ""议案内容"": ""修订《控股股东、实际控制人行为规范》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,093,561股，反对318,081股，弃权95,300股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《董事、高级管理人员薪酬与考核管理制度》"", ""议案内容"": ""修订《董事、高级管理人员薪酬与考核管理制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,049,465股，反对379,377股，弃权78,100股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《独立董事工作制度》"", ""议案内容"": ""修订《独立董事工作制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,069,161股，反对372,681股，弃权65,100股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《累积投票制度实施细则》"", ""议案内容"": ""修订《累积投票制度实施细则》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,060,855股，反对372,681股，弃权73,406股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《会计师事务所选聘制度》"", ""议案内容"": ""修订《会计师事务所选聘制度》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,069,161股，反对372,681股，弃权65,100股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于聘任2025年度审计机构的议案》"", ""议案内容"": ""聘任2025年度审计机构"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意175,052,465股，反对356,776股，弃权97,701股"", ""回避情况"": ""未找到""}]"
145988950_2025-10-10__ST天山：2025年第二次临时股东会决议公告.PDF,新疆天山畜牧生物工程股份有限公司,*ST天山,300313,2025年第二次临时股东会决议公告,2025年10月10日,股东会,2025年第二次临时,2025年10月10日,12,9052,《2025年第二次临时股东会决议公告》,"[{""议案名称"": ""《关于董事会换届选举及提名第六届董事会非独立董事候选人的议案》"", ""议案内容"": ""选举陈明艺先生、杨昀女士、郭云川先生、韩明辉先生、陈杰先生、李强先生为公司第六届董事会非独立董事"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""选举陈明艺先生：同意102,608,066股；选举杨昀女士：同意102,563,665股；选举郭云川先生：同意102,563,664股；选举韩明辉先生：同意102,558,864股；选举陈杰先生：同意102,559,974股；选举李强先生：同意102,506,164股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于董事会换届选举及提名第六届董事会独立董事候选人的议案》"", ""议案内容"": ""选举刘宗柳先生、陈继东先生、李开辉先生为公司第六届董事会独立董事"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""选举刘宗柳先生：同意102,570,446股；选举陈继东先生：同意102,587,246股；选举李开辉先生：同意102,565,645股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于注销公司回购专用证券账户股份的议案》"", ""议案内容"": ""注销公司回购专用证券账户股份"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意109,383,744股，反对51,200股，弃权28,000股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于变更公司注册资本并修订〈公司章程〉的议案》"", ""议案内容"": ""变更公司注册资本并修订《公司章程》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意109,224,244股，反对210,700股，弃权28,000股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于制定、修订公司部分治理制度的议案》"", ""议案内容"": ""包含《关于修订〈股东会议事规则〉的议案》《关于修订〈董事会议事规则〉的议案》《关于修订〈独立董事工作制度〉的议案》《关于修订〈关联交易管理制度〉的议案》《关于修订〈对外担保管理制度〉的议案》《关于修订〈对外投资管理制度〉的议案》《关于修订〈股东会网络投票实施细则〉的议案》《关于修订〈股东会累积投票实施细则〉的议案》《关于修订〈会计师事务所选聘制度〉的议案》《关于修订〈募集资金管理制度〉的议案》《关于修订〈董事、高级管理人员薪酬管理制度〉的议案》《关于修订〈委托理财管理制度〉的议案》《关于制定〈防范控股股东、实际控制人及其他关联方资金占用制度〉的议案》《关于制定〈利润分配管理制度〉的议案》《关于制定〈承诺管理制度〉的议案》《关于修订〈控股股东、实际控制人行为规范〉的议案》"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""各项子议案表决情况：同意109,224,244股至109,224,144股不等，反对210,700股至217,300股不等，弃权28,000股至38,800股不等"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于提请股东会授权公司董事会办理股份注销暨减资相关事宜的议案》"", ""议案内容"": ""提请股东会授权公司董事会办理股份注销暨减资相关事宜"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意109,224,244股，反对210,700股，弃权28,000股"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于聘任公司2025年度审计机构的议案》"", ""议案内容"": ""聘任公司2025年度审计机构"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意109,217,644股，反对217,300股，弃权28,000股"", ""回避情况"": ""未找到""}]"
145988951_2025-10-10_杭氧股份：第八届董事会第三十一次会议决议公告.PDF,杭氧集团股份有限公司,杭氧股份,002430,第八届董事会第三十一次会议决议公告,2025年10月11日,董事会,第八届董事会第三十一次会议,2025年10月10日,2,1374,《第八届董事会第三十一次会议决议公告》,"[{""议案名称"": ""《关于对全资子公司增资暨投资宁波正派电子大宗气项目的议案》"", ""议案内容"": ""同意对公司全资子公司——杭州建德杭氧气体有限公司（以下简称“建德杭氧”）增资，并由其负责为正派科技（宁波）有限公司供应电子大宗气体及提供运维服务。该项目总投资不超过4,500万元，由公司以自有资金对建德杭氧增资3,100万元，其他资金由建德杭氧以融资方式解决。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于对全资子公司江苏杭氧工业气体有限公司增资的议案》"", ""议案内容"": ""同意公司以自有资金对全资子公司——江苏杭氧工业气体有限公司（以下简称“江苏杭氧工业”）增资3,000万元。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于调整公司董事会专门委员会委员的议案》"", ""议案内容"": ""同意对第八届董事会专门委员会委员进行调整，调整后的第八届董事会各专门委员会组成如下：审计委员会：雷新途（主任委员）、姚建华、钱宇辰；战略与可持续发展委员会：郑伟（主任委员）、姚建华、黄灿、雷新途、陈珍红；提名委员会：雷新途（主任委员）、郑伟、黄灿、姚建华、童俊；薪酬与考核委员会：黄灿（主任委员）、姚建华、雷新途；科技创新委员会：姚建华（主任委员）、郑伟、黄灿、雷新途、韩一松。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145988954_2025-10-10_渤海股份：2025年第四次临时股东大会决议公告.PDF,渤海水业股份有限公司,渤海股份,000605,2025年第四次临时股东大会决议公告,2025年10月10日,股东会,2025年第四次,2025年10月10日,3,1561,《2025年第四次临时股东大会决议公告》,"[{""议案名称"": ""《关于修订<公司章程>及其附件的提案》"", ""议案内容"": ""未找到"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意143,806,334票，反对684,460票，弃权30,300票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于向金融机构申请综合授信事项的提案》"", ""议案内容"": ""未找到"", ""审议状态"": ""已经股东会审议通过"", ""表决情况"": ""同意143,816,234票，反对677,060票，弃权27,800票"", ""回避情况"": ""未找到""}]"
145988958_2025-10-10__ST天山：第六届董事会第一次会议决议公告.PDF,新疆天山畜牧生物工程股份有限公司,*ST天山,300313,新疆天山畜牧生物工程股份有限公司第六届董事会第一次会议决议公告,2025年10月10日,董事会,第六届董事会第一次会议,2025年10月10日,3,1947,《新疆天山畜牧生物工程股份有限公司第六届董事会第一次会议决议公告》,"[{""议案名称"": ""《关于选举公司第六届董事会董事长的议案》"", ""议案内容"": ""经董事会全体董事审议通过，同意选举陈明艺先生为公司第六届董事会董事长，代表公司执行公司事务的董事，为公司法定代表人，任期至第六届董事会届满。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于选举公司第六届董事会各专门委员会委员的议案》"", ""议案内容"": ""根据《中华人民共和国公司法》《深圳证券交易所创业板股票上市规则》《公司章程》等相关规定，公司第六届董事会下设战略委员会、审计委员会、提名委员会及薪酬与考核委员会四个专门委员会。经全体董事审议通过，同意选举如下人员担任第六届董事会各专门委员会委员：战略委员会：主任委员（召集人）陈明艺，委员会成员陈明艺、刘宗柳、杨昀、郭云川、李强；审计委员会：主任委员（召集人）刘宗柳，委员会成员刘宗柳、陈继东、杨昀；提名委员会：主任委员（召集人）李开辉，委员会成员李开辉、刘宗柳、陈杰；薪酬与考核委员会：主任委员（召集人）陈继东，委员会成员陈继东、李开辉、韩明辉。其中董事会审计委员会、提名委员会、薪酬与考核委员会中独立董事均过半数并担任主任委员，且审计委员会成员均为不在公司担任高级管理人员的董事，审计委员会主任委员刘宗柳先生为会计专业人士。上述各专门委员及主任委员任期至公司第六届董事会届满。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于聘任公司高级管理人员的议案》"", ""议案内容"": ""根据《中华人民共和国公司法》及有关法律、法规的规定，董事会同意聘任林财源先生担任公司总裁职务；董事会同意聘任韩明辉先生担任公司联席总裁、董事会秘书职务；董事会同意聘任陈杰先生、葛建军先生、李强先生担任公司副总裁职务。上述高级管理人员任期至第六届董事会届满。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于暂由齐贲超先生代行财务负责人职责的议案》"", ""议案内容"": ""根据《中华人民共和国公司法》及有关法律、法规的规定，为保障公司财务工作的正常开展，董事会同意在公司未正式聘任财务负责人（财务总监）之前，暂由公司财务副总监齐贲超先生代行财务负责人（财务总监）职责，代职期限至新任财务负责人（财务总监）到任之日止。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于聘任公司证券事务代表的议案》"", ""议案内容"": ""经董事会全体董事审议通过，同意聘任翟蕊女士为公司证券事务代表，任期至第六届董事会届满。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
