filename,公司全称,公司简称,公司代码,公告名称,落款日期,业绩分类,审计机构,签字会计师,审计意见,"审计费用（万元）/
会计师事务所报酬",营业收入（单位：元）-本期数据,营业收入（单位：元）-上期数据,营业收入（单位：元）-同比变动比例（%）,"归属于上市公司股东的净利润
（单位：元）-本期数据","归属于上市公司股东的净利润
（单位：元）-上期数据","归属于上市公司股东的净利润
（单位：元）-同比变动比例（%）",归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-本期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-上期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-同比变动比例（%）,"总资产/资产总额
（单位：元）-本期数据","总资产/资产总额
（单位：元）-上期数据","总资产/资产总额
（单位：元）-同比变动比例（%）","归属于上市公司股东的净资产
（单位：元）-本期数据","归属于上市公司股东的净资产
（单位：元）-上期数据","归属于上市公司股东的净资产
（单位：元）-同比变动比例（%）",经营活动产生的现金流量净额-本期数据,经营活动产生的现金流量净额-上期数据,经营活动产生的现金流量净额-同比变动比例（%）,基本每股收益（元／股）-本期数据,基本每股收益（元／股）-上期数据,基本每股收益（元／股）-同比变动比例（%）,加权平均净资产收益率（%）-本期数据,加权平均净资产收益率（%）-上期数据,加权平均净资产收益率（%）-同比变动比例（%）,资产负债率,目录,利润分配预案/利润分配方案,语言,精排,篇幅页码,字数,净利润（本期数据）,净利润（上期数据）,本期数据,上期数据,同比变动比例（%）,负债合计（本期数据）,负债和所有者权益（或股东权益）总计（本期数据）,董事会决议通过的本报告期利润分配预案或公积金转增股本预案,经本次董事会审议通过的利润分配预案为：,年度利润分配方案如下：
145998839_2025-10-17_2025年第三季度报告.pdf,科威尔技术股份有限公司,科威尔,688551,科威尔技术股份有限公司2025年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,145317272.39,未找到,17.90,20594600.35,未找到,110.36,14547513.59,未找到,105.00,1712046915.76,1711537350.58,0.03,1303866546.48,1301294675.18,0.20,-633308.73,未找到,不适用,0.25,未找到,108.33,1.59,未找到,增加0.84个百分点,23.85%,重要内容提示；一、主要财务数据；（一）主要会计数据和财务指标；（二）非经常性损益项目和金额；（三）主要会计数据、财务指标发生变动的情况、原因；二、股东信息；（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表；三、其他提醒事项；四、季度财务报表；（一）审计意见类型；（二）财务报表,未找到,中文,否,11,9098,51337322.44,50773763.92,未找到,未找到,未找到,408180369.28,1712046915.76,未找到,未找到,未找到
145998952_2025-10-17_安徽新力金融股份有限公司2025年三季度报告.pdf,安徽新力金融股份有限公司,新力金融,600318,安徽新力金融股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,91165555.64,未找到,-0.45,16134478.67,未找到,4.66,15198262.60,未找到,-1.30,4508236028.64,4048822951.93,11.35,1093143709.11,1060476921.18,3.08,不适用,不适用,不适用,0.0315,未找到,4.65,1.49,未找到,增加0.04个百分点,52.47%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,8956,91363590.44,86838300.23,未找到,未找到,未找到,2365407095.31,4508236028.64,未找到,未找到,未找到
145998990_2025-10-17_2025年第三季度报告.pdf,科大国盾量子技术股份有限公司,国盾量子,688027,科大国盾量子技术股份有限公司2025年第三季度报告,2025-10-18,亏损,未找到,未找到,未找到,未找到,68361136.57,未找到,126.52,-2679550.33,未找到,不适用,-17571607.01,未找到,不适用,3565625189.98,3569251223.98,-0.10,3213270834.96,3239740418.74,-0.82,不适用,不适用,不适用,-0.03,未找到,不适用,-0.08,未找到,增加1.27个百分点,9.66%,一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,12,9478,-26236189.72,-56965949.89,未找到,未找到,未找到,344403617.55,3565625189.98,未找到,未找到,未找到
145999059_2025-10-17_2025年第三季度报告.pdf,宁波容百新能源科技股份有限公司,容百科技,688005,宁波容百新能源科技股份有限公司2025年第三季度报告,2025-10-18,亏损,未找到,未找到,未找到,未找到,"2,737,432,569.97",未找到,-38.29,"-135,246,611.47",未找到,-227.45,"-141,499,369.10",未找到,-252.93,"23,958,727,350.00","24,622,978,521.33",-2.70,"8,107,726,357.10","8,440,667,718.62",-3.94,"1,371,333,585.46","-484,713,368.85",未找到,-0.19,未找到,-226.67,-1.64,未找到,减少2.89个百分点,65.67%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,20,17926,"-174,720,060.83","145,783,602.36",未找到,未找到,未找到,"15,732,503,647.69","23,958,727,350.00",未找到,未找到,未找到
145999490_2025-10-17_紫金矿业集团股份有限公司2025年第三季度报告.pdf,紫金矿业集团股份有限公司,紫金矿业,601899,紫金矿业集团股份有限公司2025年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"86,488,690,009",未找到,8.14,"14,571,868,503",未找到,57.14,"12,502,666,197",未找到,50.37,"483,007,569,343","396,610,730,026",21.78,"169,312,403,158","139,785,524,982",21.12,"23,277,531,472",未找到,48.62,0.548,未找到,57.02,9.80,未找到,增加2.66个百分点,53.01%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;（一）主要生产经营数据;（二）集团黄金矿山企业生产经营数据;（三）报告期内其他重要事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,是,22,19156,"17,056,118,231",未找到,未找到,未找到,未找到,"256,040,587,353","483,007,569,343",未找到,未找到,未找到
145999568_2025-10-17_2025年第三季度报告.pdf,中科寒武纪科技股份有限公司,寒武纪,688256,中科寒武纪科技股份有限公司2025年第三季度报告,2025-10-17,扭亏为盈,未找到,未找到,未找到,未找到,"1,726,780,892.57",未找到,"1,332.52","566,563,175.54",未找到,未找到,"506,321,130.23",未找到,未找到,"12,592,153,353.85","6,717,812,509.70",87.44,"11,311,145,494.56","5,422,658,659.68",108.59,"-29,304,811.71","-1,809,711,668.38",未找到,3.85,-1.74,未找到,25.21,未找到,增加38.69个百分点,9.72%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,10215,"1,604,038,056.13","-728,481,605.23",未找到,未找到,未找到,"1,273,794,635.30","12,592,153,353.85",未找到,未找到,未找到
145999830_2025-10-17_2025年第三季度报告.pdf,联芸科技（杭州）股份有限公司,联芸科技,688449,联芸科技（杭州）股份有限公司2025年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,311152965.20,未找到,4.36,33921693.19,未找到,5.93,27047921.59,未找到,234.57,2271554817.99,2086479098.25,8.87,1839571038.88,1709848206.17,7.59,108639535.98,-93450796.00,未找到,0.07,未找到,-22.22,1.87,未找到,减少3.51个百分点,19.01%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9167,90056656.92,73184367.45,未找到,未找到,未找到,431983779.11,2271554817.99,未找到,未找到,未找到
145999862_2025-10-17_尚纬股份有限公司2025年第三季度报告.pdf,尚纬股份有限公司,尚纬股份,603333,尚纬股份有限公司2025年第三季度报告,2025-10-17,亏损,未找到,未找到,未找到,未找到,944605252.39,1197547176.14,-21.12,-25689090.65,18997581.53,-235.22,-30911429.97,18850493.05,-265.91,2858574320.41,3066913225.11,-6.79,2063578548.83,2089852061.62,-1.26,-61281903.58,-4130300.04,未找到,-0.04,0.03,-233.33,-1.24,未找到,未找到,27.88%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9276,-25987617.01,18850493.05,未找到,未找到,未找到,797052304.28,2858574320.41,未找到,未找到,未找到
146000051_2025-10-19_福建省燕京惠泉啤酒股份有限公司2025年第三季度报告.pdf,福建省燕京惠泉啤酒股份有限公司,惠泉啤酒,600573,福建省燕京惠泉啤酒股份有限公司2025年第三季度报告,2025-10-17,同比增长,未找到,未找到,未找到,未找到,224429615.06,未找到,-7.77,58985491.57,未找到,22.51,57602462.20,未找到,20.04,1805258280.64,1681059315.28,7.39,1376151891.16,1297594732.81,6.05,199145759.12,216166061.91,-7.87,0.236,未找到,22.51,4.44,未找到,增加0.66个百分点,23.23%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、行业相关主要经营数据情况;1.按产品档次分类情况;2.按销售渠道分类情况;3.按区域分类情况;4.2025年1-9月经销商情况;三、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;四、其他提醒事项;五、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,8311,98875866.96,80208810.23,未找到,未找到,未找到,419337594.99,1805258280.64,未找到,未找到,未找到
146000092_2025-10-19_祥生医疗2025年第三季度报告.pdf,无锡祥生医疗科技股份有限公司,祥生医疗,688358,无锡祥生医疗科技股份有限公司2025年第三季度报告,2025-10-20,同比下降,未找到,未找到,未找到,未找到,343166004.60,362245220.14,-5.27,93920462.46,98408552.70,-4.56,86966625.94,89330240.70,-2.69,1577347808.07,1597009767.62,-1.23,1400107281.02,1420586554.05,-1.44,73290282.91,70624175.74,3.78,0.84,0.88,-4.55,6.63,7.14,减少0.51个百分点,11.24%,一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,12,9027,93920462.46,98408552.70,未找到,未找到,未找到,177240527.05,1577347808.07,未找到,未找到,未找到
146000197_2025-10-20_2025年第三季度报告.pdf,嘉环科技股份有限公司,嘉环科技,603206,嘉环科技股份有限公司2025年第三季度报告,2025-10-20,同比下降,未找到,未找到,未找到,未找到,2774981321.73,3103009364.10,-10.57,55345735.87,75329113.27,-26.53,42473303.22,65999619.00,-35.61,8165880199.84,7177709501.47,13.77,2268563642.05,2213217019.28,2.50,-659975227.96,-1222880786.74,未找到,0.18,0.25,-28.00,2.47,3.40,减少0.93个百分点,72.04%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,17,13798,55601691.19,75206939.94,未找到,未找到,未找到,5870715827.55,8165880199.84,未找到,未找到,未找到
146000374_2025-10-20_维力医疗2025年第三季度报告.pdf,广州维力医疗器械股份有限公司,维力医疗,603309,广州维力医疗器械股份有限公司2025年第三季度报告,2025-10-21,同比增长,未找到,未找到,未找到,未找到,"1,191,172,720.75","1,060,429,057.46",12.33,"191,642,595.23","166,726,371.77",14.94,"184,371,840.43","159,600,000.00",15.22,"2,907,743,076.36","2,840,682,536.11",2.36,"1,935,284,631.87","1,884,975,721.94",2.67,"160,116,878.76","119,902,354.35",33.54,0.65,0.57,14.04,10.00,9.08,增加0.92个百分点,33.03%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（二）审计意见类型;（三）财务报表,未找到,中文,否,11,9452,"199,795,174.69","172,197,003.94",未找到,未找到,未找到,"960,532,889.45","2,907,743,076.36",未找到,未找到,未找到
146000428_2025-10-20_2025年第三季度报告.pdf,哈药集团人民同泰医药股份有限公司,人民同泰,600829,哈药集团人民同泰医药股份有限公司2025年第三季度报告,2025-10-20,同比下降,未找到,未找到,未找到,未找到,"7,845,928,889.11","7,678,084,114.44",2.19,"111,876,491.38","206,004,258.18",-45.69,"110,442,335.89","192,628,300.00",-42.68,"7,022,029,070.62","7,166,181,171.04",-2.01,"2,993,063,016.57","2,881,186,525.19",3.88,"-313,939,721.76","-243,296,367.64",未找到,0.1929,0.3552,-45.69,3.81,7.32,减少3.51个百分点,57.38%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,17,12545,"111,876,512.82","206,004,237.80",未找到,未找到,未找到,"4,029,008,813.63","7,022,029,070.62",未找到,未找到,未找到
146000448_2025-10-20_浙江物产环保能源股份有限公司2025年第三季度报告.pdf,浙江物产环保能源股份有限公司,物产环能,603071,浙江物产环保能源股份有限公司2025年第三季度报告,2025-10-20,同比下降,未找到,未找到,未找到,未找到,"26,979,076,377.45","30,953,828,498.62",-12.84,"452,500,534.61","532,982,105.32",-15.10,"432,588,502.90","475,500,534.61",-9.03,"11,618,369,198.61","11,713,081,807.00",-0.81,"5,639,729,314.05","5,512,782,741.93",2.30,"1,781,334,020.65","-352,466,663.40",未找到,0.81,0.96,-15.63,8.03,10.05,减少2.02个百分点,42.12%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9550,"575,230,677.89","638,117,931.34",未找到,未找到,未找到,"4,893,571,661.45","11,618,369,198.61",未找到,未找到,未找到
146000492_2025-10-20_四川川投能源股份有限公司2025年第三季度报告.pdf,四川川投能源股份有限公司,川投能源,600674,四川川投能源股份有限公司2025年第三季度报告,2025-10-20,同比下降,未找到,未找到,未找到,未找到,428502665.99,未找到,-11.30,1760254513.64,未找到,-16.96,1753743525.32,未找到,-16.54,68806177425.38,65049216986.43,5.78,44384896823.40,42137952781.56,5.33,577484534.41,655997695.77,-11.97,0.8660,0.9133,-5.18,9.54,未找到,-1.35,33.05%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9890,4292071193.24,4503584192.80,未找到,未找到,未找到,22589214945.98,68806177425.38,未找到,未找到,未找到
146000563_2025-10-20_浙江永和制冷股份有限公司2025年第三季度报告.pdf,浙江永和制冷股份有限公司,永和股份,605020,浙江永和制冷股份有限公司2025年第三季度报告,2025-10-21,同比增长,未找到,未找到,未找到,未找到,3785575712.97,3378729174.79,12.04,469244976.11,146462270.14,220.39,456965449.67,141700000.00,223.74,7904338513.18,7137035461.99,10.75,5649756767.56,2848674774.58,98.33,501709665.23,268922619.88,86.56,1.09,0.39,179.49,15.36,5.40,增加9.96个百分点,28.48%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9286,470371656.41,147030515.38,未找到,未找到,未找到,2250889685.74,7904338513.18,未找到,未找到,未找到
146000578_2025-10-20_集友股份2025年第三季度报告.pdf,安徽集友新材料股份有限公司,集友股份,603429,安徽集友新材料股份有限公司2025年第三季度报告,2025-09-20,亏损,未找到,未找到,未找到,未找到,24274281.19,未找到,-80.22,-4587539.08,未找到,-130.14,-7184839.37,未找到,-153.36,1337365969.55,1399346894.50,-4.43,1233934147.83,1239908830.77,-0.48,未找到,未找到,未找到,-0.009,未找到,-130.00,-0.37,未找到,减少1.31个百分点,7.16%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9244,-6527446.15,-53292896.10,未找到,未找到,未找到,95872441.43,1337365969.55,未找到,未找到,未找到
146000602_2025-10-20_2025年第三季度报告.pdf,东莞市鼎通精密科技股份有限公司,鼎通科技,688668,东莞市鼎通精密科技股份有限公司2025年第三季度报告,2025-10-20,同比增长,未找到,未找到,未找到,未找到,1156197220.63,703064325.83,64.45,176572011.04,78340997.88,125.39,166648222.14,70913402.28,134.46,2398779751.63,2176381723.94,10.22,1900830873.75,1804443889.58,5.34,135287907.30,63175009.43,114.15,1.27,0.565,125.39,7.72,4.42,增加3.3个百分点,20.75%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9411,176572011.04,78340997.88,未找到,未找到,未找到,497948877.88,2398779751.63,未找到,未找到,未找到
146000617_2025-10-20_长城科技2025年第三季度报告.pdf,浙江长城电工科技股份有限公司,长城科技,603897,浙江长城电工科技股份有限公司2025年第三季度报告,2025-10-21,同比增长,未找到,未找到,未找到,未找到,"9,442,503,863.31","9,507,302,460.12",-0.68,"214,927,854.11","188,871,550.28",13.80,"207,074,020.67","184,000,286.25",12.52,"6,862,468,275.11","6,496,995,385.35",5.63,"2,404,740,158.73","2,559,299,956.30",-6.04,"982,130,241.45","-249,552,406.75",未找到,1.04,0.91,14.29,8.66,6.58,增加2.08个百分点,64.95%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,8551,"214,927,854.11","188,871,550.28",未找到,未找到,未找到,"4,457,728,116.38","6,862,468,275.11",未找到,未找到,未找到
146000646_2025-10-20_2025年第三季度报告.pdf,江苏神马电力股份有限公司,神马电力,603530,江苏神马电力股份有限公司2025年第三季度报告,2025-10-20,同比增长,未找到,未找到,未找到,未找到,"1,163,200,291.11","895,405,866.70",29.91,"277,026,026.66","215,600,963.58",28.49,"273,279,262.81","211,000,000.00",29.45,"2,695,225,176.67","2,477,286,638.13",8.80,"1,632,477,914.87","1,777,070,655.13",-8.14,"28,347,152.85","87,364,663.57",-67.55,0.66,0.51,29.41,15.11,13.14,增加1.97个百分点,39.42%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9392,"277,026,026.66","215,600,963.58",未找到,未找到,未找到,"1,062,747,261.80","2,695,225,176.67",未找到,未找到,未找到
146000679_2025-10-20_青海春天2025年第三季度报告.pdf,青海春天药用资源科技股份有限公司,*ST春天,600381,青海春天药用资源科技股份有限公司2025年第三季度报告,2025-10-20,亏损,未找到,未找到,未找到,未找到,87655537.37,未找到,46.94,-4148709.06,未找到,未找到,-4102701.67,未找到,未找到,1079883374.73,1164283148.95,-7.25,1029720180.68,1032551890.87,-0.27,未找到,未找到,未找到,-0.007,未找到,未找到,-0.40,未找到,2.14,4.19%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,8672,-1143534.59,-88648013.81,未找到,未找到,未找到,45343083.07,1079883374.73,未找到,未找到,未找到
146000737_2025-10-20_2025年第三季度报告.pdf,中策橡胶集团股份有限公司,中策橡胶,603049,中策橡胶集团股份有限公司2025年第三季度报告,2025-10-20,同比增长,未找到,未找到,未找到,未找到,11827565261.63,未找到,9.77,1190974804.28,未找到,76.56,1164253352.15,未找到,80.52,51081248661.20,44824439295.79,13.96,24142897764.84,17476560764.59,38.14,830093103.82,2185141179.30,-62.01,1.36,未找到,58.36,5.06,未找到,增加0.94个百分点,52.00%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9857,3513209059.41,3214245995.34,未找到,未找到,未找到,26937570576.54,51081248661.20,未找到,未找到,未找到
146000768_2025-10-20_2025年第三季度报告.pdf,润本生物技术股份有限公司,润本股份,603193,润本生物技术股份有限公司2025年第三季度报告,2025-10-21,同比增长,未找到,未找到,未找到,未找到,"1,237,521,845.97","1,037,514,293.85",19.28,"266,047,503.56","260,884,103.81",1.98,"251,228,377.22","255,716.67",-1.79,"2,306,585,927.30","2,219,337,493.41",3.93,"2,172,526,081.11","2,080,453,702.55",4.43,"220,109,889.62","179,625,103.80",22.54,0.66,0.64,3.13,12.25,12.91,减少0.66个百分点,5.82%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,8617,"266,047,503.56","260,884,103.81",未找到,未找到,未找到,"134,059,846.19","2,306,585,927.30",未找到,未找到,未找到
146000779_2025-10-20_2025年第三季度报告.pdf,美芯晟科技（北京）股份有限公司,美芯晟,688458,美芯晟科技（北京）股份有限公司2025年第三季度报告,2025-10-20,扭亏为盈,未找到,未找到,未找到,未找到,156491252.08,未找到,66.31,5312920.40,未找到,132.74,257829.27,未找到,101.10,1969746866.77,1996913482.37,-1.36,1851928977.18,1889097759.39,-1.97,不适用,不适用,不适用,0.05,未找到,133.33,0.29,未找到,增加1.10个百分点,5.96%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;2025年前三季度经营情况简介;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,10565,10319756.59,-32249296.24,未找到,未找到,未找到,117817889.59,1969746866.77,未找到,未找到,未找到
146000887_2025-10-20_永鼎股份2025年第三季度报告.pdf,江苏永鼎股份有限公司,永鼎股份,600105,江苏永鼎股份有限公司2025年第三季度报告,2025-10-20,同比增长,未找到,未找到,未找到,未找到,"3,630,398,728.38","2,972,593,105.99",22.13,"329,096,243.26","57,303,638.41",474.30,"321,462,908.52","46,344,478.67",613.65,"9,328,153,519.50","8,212,411,822.93",13.59,"3,299,822,796.28","3,097,893,940.96",6.52,"30,114,411.30","-489,891,518.20",未找到,0.225,0.041,448.78,10.21,未找到,未找到,61.98%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,10265,"321,837,017.25","103,648,117.08",未找到,未找到,未找到,"5,751,695,345.80","9,328,153,519.50",未找到,未找到,未找到
146000890_2025-10-20_新疆天富能源股份有限公司2025年第三季度报告.pdf,新疆天富能源股份有限公司,天富能源,600509,新疆天富能源股份有限公司2025年第三季度报告,2025-10-20,同比下降,未找到,未找到,未找到,未找到,"5,928,751,584.63","6,744,841,673.91",-12.10,"374,222,517.95","493,878,747.35",-24.23,"348,605,117.48","422,000,000.00",-17.50,"30,497,549,557.10","30,565,020,018.78",-0.22,"7,774,513,119.17","7,451,402,322.79",4.34,"639,507,309.03","730,830,654.31",-12.50,0.2723,0.3645,-25.29,4.90,6.44,减少1.54个百分点,68.80%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,9239,"372,461,610.94","498,662,157.78",未找到,未找到,未找到,"21,681,167,630.17","30,497,549,557.10",未找到,未找到,未找到
146000901_2025-10-20_宁夏建材2025年第三季度报告.pdf,宁夏建材集团股份有限公司,宁夏建材,600449,宁夏建材集团股份有限公司2025年第三季度报告,2025-10-20,同比增长,未找到,未找到,未找到,未找到,"1,490,014,559.44",未找到,-39.75,"115,787,522.03",未找到,-2.16,"101,651,194.28",未找到,-9.14,"10,436,675,685.01","10,618,963,806.74",-1.72,"7,410,735,924.37","7,276,468,435.55",1.85,"302,662,132.42",未找到,102.28,0.24,未找到,-4.00,1.58,未找到,减少0.08个百分点,25.55%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,20,15366,"231,305,555.62","173,608,283.34",未找到,未找到,未找到,"2,666,827,136.03","10,436,675,685.01",未找到,未找到,未找到
